appid,Sports,Minigames,Violent,Management,4 Player Local,Grand Strategy,Crime,Dating Sim,Colorful,Historical,Casual,Arcade,Action,Racing,Automobile Sim,PvP,Choices Matter,Moddable,Nudity,War,Local Multiplayer,Great Soundtrack,Realistic,RPG,Real-Time with Pause,Multiplayer,Comedy,Funny,Sexual Content,Character Customization,Turn-Based Combat,Drama,Singleplayer,Turn-Based,Local Co-Op,Political,Driving,Sandbox,Atmospheric,JRPG,Medieval,Open World,Strategy,Adventure,Story Rich,Simulation,Offroad,First-Person,review_score,review_score_desc,total_positive,total_negative,name,ign_score,ign_release_data,ign_comments,pc_gamer_score,pc_gamer_release_data
1038250,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,5,Mixed,779,653,DIRT 5,8,2020-11-19,68,60,2020-11-02
1158310,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,8,Very Positive,38644,2431,Crusader Kings III,10,2020-08-31,574,94,2020-08-31
1235140,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,9,Overwhelmingly Positive,4724,104,Yakuza: Like a Dragon,7,2020-11-04,570,72,2020-11-04
